additional_requirements,admission_requirements,bac_type_id,bac_type_name,data_sources,duration,field_of_study,formula_explanation,historical_scores,minimum_bac_average,notes,program_description,ramz_code,ramz_id,ramz_link,seven_percent,specialty,specialty_code,table_criteria,table_institution,table_location,table_specialization,university_id,university_name
,,1,آداب,,,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 94.5, '2012': 96.725, '2013': 95.7, '2014': 92.8665, '2015': 97.25, '2016': 100.825, '2017': 97.1418, '2018': 99.245, '2019': 96.7422, '2020': 102.4258, '2021': 100.58, '2022': 98.1618, '2023': 95.6117, '2024': 97.875}",,,,10101,110101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110101,نعم,,,FG+AR,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في العربية,01,جامعة تونس
,,3,علوم تجريبية,,,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 134.495, '2020': 114.2279, '2021': 108.52, '2022': 113.8213, '2023': 129.1169, '2024': 130.9413}",,,,10101,310101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310101,نعم,,,FG+AR,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في العربية,01,جامعة تونس
,,4,إقتصاد وتصرف,,,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 90.3632, '2020': 87.2818, '2021': 84.9082, '2022': 97.89, '2023': 86.7539, '2024': 73.8752}",,,,10101,410101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410101,نعم,,,FG+AR,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في العربية,01,جامعة تونس
,,2,رياضيات,,,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 112.441, '2020': 107.428, '2021': 138.1745, '2022': 115.3728, '2023': 0.0, '2024': 0.0}",,,,10101,210101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210101,نعم,,,FG+AR,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في العربية,01,جامعة تونس
,,6,علوم الإعلامية,,,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 111.2666, '2020': 0.0, '2021': 85.2584, '2022': 113.3344, '2023': 147.9275, '2024': 98.1888}",,,,10101,610101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610101,نعم,,,FG+AR,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في العربية,01,جامعة تونس
,,1,آداب,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 103.55, '2012': 114.276, '2013': 104.5035, '2014': 104.0998, '2015': 108.9084, '2016': 114.4098, '2017': 113.9102, '2018': 114.8076, '2019': 116.8517, '2020': 107.7276, '2021': 116.025, '2022': 109.9199, '2023': 112.1467, '2024': 115.4263}",115.426,,الإجازة في الإنقليزية 3 سنوات (امد),10102,110102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110102,نعم,اللغة والآداب والحضارة,10102,FG+ANG,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الإنقليزية,01,جامعة تونس
,,3,علوم تجريبية,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 149.9445, '2020': 126.675, '2021': 137.4041, '2022': 129.01, '2023': 142.7327, '2024': 151.817}",151.817,,الإجازة في الإنقليزية 3 سنوات (امد),10102,310102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310102,نعم,اللغة والآداب والحضارة,10102,FG+ANG,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الإنقليزية,01,جامعة تونس
,,5,العلوم التقنية,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 134.2262, '2020': 125.3238, '2021': 135.6332, '2022': 135.54, '2023': 118.555, '2024': 122.9663}",122.966,,الإجازة في الإنقليزية 3 سنوات (امد),10102,510102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510102,نعم,اللغة والآداب والحضارة,10102,FG+ANG,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الإنقليزية,01,جامعة تونس
,,4,إقتصاد وتصرف,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 78.0761, '2012': 72.2083, '2013': 95.7635, '2014': 65.6212, '2015': 84.1181, '2016': 102.5503, '2017': 91.4851, '2018': 86.9588, '2019': 91.8384, '2020': 92.9067, '2021': 78.1901, '2022': 114.5649, '2023': 91.4209, '2024': 107.5939}",107.594,,الإجازة في الإنقليزية 3 سنوات (امد),10102,410102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410102,نعم,اللغة والآداب والحضارة,10102,FG+ANG,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الإنقليزية,01,جامعة تونس
,,2,رياضيات,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 153.0475, '2020': 122.5917, '2021': 143.79, '2022': 152.6195, '2023': 155.2196, '2024': 110.4043}",110.404,,الإجازة في الإنقليزية 3 سنوات (امد),10102,210102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210102,نعم,اللغة والآداب والحضارة,10102,FG+ANG,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الإنقليزية,01,جامعة تونس
