degree_name,field,program_description,duration,admission_requirements,institution_name,university,specialty,specialty_code,location,contact_info,bac_type,formula,formula_explanation,historical_scores_2022,historical_scores_2023,historical_scores_2024,minimum_bac_average,additional_requirements,notes,data_source
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية العلوم الإنسانية والاجتماعية بتونس,جامعة تونس,اللغة والآداب والحضارة,10101,,,آداب,FG+A,,98.1618,95.6117,97.875,97.875,,,scores_csv
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية العلوم الإنسانية والاجتماعية بتونس,جامعة تونس,اللغة والآداب والحضارة,10101,,,رياضيات,FG+A,,115.3728,,,,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية العلوم الإنسانية والاجتماعية بتونس,جامعة تونس,اللغة والآداب والحضارة,10101,,,علوم تجريبية,FG+A,,113.8213,129.1169,130.941,130.941,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية العلوم الإنسانية والاجتماعية بتونس,جامعة تونس,اللغة والآداب والحضارة,10101,,,إقتصاد وتصرف,FG+A,,97.89,86.754,73.875,73.875,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية العلوم الإنسانية والاجتماعية بتونس,جامعة تونس,اللغة والآداب والحضارة,10101,,,علوم الإعلامية,FG+A,,113.3344,147.9275,98.189,98.189,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11101,,,آداب,FG+A,,92.7816,92.1165,95.241,95.241,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11101,,,رياضيات,FG+A,,125.09,,,,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11101,,,علوم تجريبية,FG+A,,109.0103,114.476,124.842,124.842,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11101,,,إقتصاد وتصرف,FG+A,,80.7232,79.4068,80.197,80.197,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11101,,,علوم الإعلامية,FG+A,,105.831,155.6636,107.011,107.011,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11102,,,آداب,FG+Ang,,104.4567,109.6764,113.238,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11102,,,رياضيات,FG+Ang,,127.62,147.3711,109.732,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11102,,,علوم تجريبية,FG+Ang,,127.1516,149.1045,132.98,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11102,,,إقتصاد وتصرف,FG+Ang,,105.3506,90.4241,94.349,,,,
