ramz_code,ramz_id,ramz_link,bac_type_id,bac_type_name,university_id,university_name,table_specialization,table_university,table_institution,table_location,table_criteria,institution,field_of_study,historical_scores,seven_percent
22103,222103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=222103,2,رياضيات,4,جامعة  قرطاج,الإجازة في الفرنسية,جامعة قرطاج,المعهد العالي للغات بنابل,نابل,FG+F,"العنوان :
الهاتف :",الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 109.8251, '2021': 93.4883, '2022': 0.0, '2023': 0.0, '2024': 0.0}",yes
10209,210209,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210209,2,رياضيات,1,جامعة تونس,الاجازة في تصميم الصورة,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,تونس,FG+PH,"العنوان :
الهاتف :",الثقافة والفنون الجميلة والفنون والحرف : الثقافة والفنون الجميلة والفنون والحرف,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 113.5397, '2020': 112.4569, '2021': 122.5632, '2022': 117.9388, '2023': 113.6926, '2024': 122.7932}",yes
11209,411209,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=411209,4,إقتصاد وتصرف,2,جامعة منوبة,الاجازة في تصميم الصورة,جامعة منوبة,المدرسة العليا لعلوم و تكنولوجيات التصميم,تونس,FG+PH,"العنوان :
الهاتف :",الثقافة والفنون الجميلة والفنون والحرف : الثقافة والفنون الجميلة والفنون والحرف,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 111.365, '2020': 116.29, '2021': 110.225, '2022': 110.2368, '2023': 94.0406, '2024': 100.4409}",yes
10453,410453,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410453,4,إقتصاد وتصرف,4,جامعة  قرطاج,الإجازة في الفندقة,جامعة قرطاج,المعهد العالي للدراسات السياحية والفندقية بسيدي الظريف,تونس,FG+(F+ANG)/2,"العنوان :
الهاتف :",السياحة والتنشيط والرياضة والتربية البدنية : السياحة والتنشيط والرياضة والتربية البدنية,"{'2011': 95.4749, '2012': 95.925, '2013': 92.475, '2014': 94.7, '2015': 87.0419, '2016': 88.6583, '2017': 88.4751, '2018': 92.175, '2019': 93.525, '2020': 86.4152, '2021': 103.47, '2022': 92.745, '2023': 95.5699, '2024': 97.9399}",no
13101,213101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=213101,2,رياضيات,4,جامعة  قرطاج,الإجازة في العربية,جامعة قرطاج,المعهد العالي للغات بتونس,تونس,FG+AR,"العنوان :
الهاتف :",الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 117.7749, '2022': 137.205, '2023': 0.0, '2024': 0.0}",yes
10509,310509,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310509,3,علوم تجريبية,2,جامعة منوبة,الإجازة في علوم الأحياء,جامعة منوبة,المعهد العالي للبيوتكنولوجيا بسيدي ثابت,تونس,FG+SVT,"العنوان :
الهاتف :",العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,"{'2011': 136.7728, '2012': 125.5645, '2013': 130.219, '2014': 125.511, '2015': 135.2748, '2016': 123.5315, '2017': 125.083, '2018': 117.0313, '2019': 95.863, '2020': 108.4624, '2021': 114.2921, '2022': 94.365, '2023': 102.7, '2024': 104.7985}",yes
11121,211121,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=211121,2,رياضيات,3,جامعة تونس المنار,الإجازة في علم النـفـــس,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,تونس,FG+PH,"العنوان :
الهاتف :",العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 149.105, '2020': 134.195, '2021': 161.24, '2022': 156.31, '2023': 153.2, '2024': 157.945}",no
10470,410470,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410470,4,إقتصاد وتصرف,4,جامعة  قرطاج,الإجازة في علوم التربية,جامعة قرطاج,المعهد العالي لإطارات الطفولة بقرطاج درمش,تونس,FG+PH,"العنوان :
الهاتف :",العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 105.93, '2020': 105.69, '2021': 122.15, '2022': 106.5451, '2023': 112.825, '2024': 123.74}",no
11523,211523,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=211523,2,رياضيات,3,جامعة تونس المنار,الإجازة في علوم الإعلامية,جامعة تونس المنار,المعهد العالي للاعلامية,تونس,FG+(M+Info)/2,"العنوان :
الهاتف :",العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,"{'2011': 125.8, '2012': 125.3238, '2013': 124.6818, '2014': 128.675, '2015': 132.1718, '2016': 127.0893, '2017': 125.6715, '2018': 112.5, '2019': 167.1447, '2020': 163.3462, '2021': 182.3815, '2022': 184.2166, '2023': 187.57, '2024': 191.5889}",yes
10509,210509,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210509,2,رياضيات,2,جامعة منوبة,الإجازة في علوم الأحياء,جامعة منوبة,المعهد العالي للبيوتكنولوجيا بسيدي ثابت,تونس,FG+SVT,"العنوان :
الهاتف :",العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,"{'2011': 128.4, '2012': 123.4512, '2013': 125.2703, '2014': 129.8445, '2015': 148.8103, '2016': 112.8048, '2017': 113.7143, '2018': 117.025, '2019': 0.0, '2020': 101.7375, '2021': 109.7584, '2022': 105.2932, '2023': 107.5102, '2024': 109.865}",yes
10546,310546,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310546,3,علوم تجريبية,2,جامعة منوبة,الإجازة في البيوتكنولوجيا,جامعة منوبة,المعهد العالي للبيوتكنولوجيا بسيدي ثابت,تونس,FG+(SP+SVT)/2,"العنوان :
الهاتف :",العلوم الفلاحية والبيوتكنولوجيا والبيئة : العلوم الفلاحية والبيوتكنولوجيا والبيئة,"{'2011': 114.6773, '2012': 99.025, '2013': 100.075, '2014': 97.85, '2015': 109.3273, '2016': 113.4, '2017': 111.2, '2018': 105.0, '2019': 109.87, '2020': 116.1268, '2021': 122.4, '2022': 109.4255, '2023': 114.5006, '2024': 112.9813}",yes
10139,410139,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410139,4,إقتصاد وتصرف,5,جامعة الزيتونة,الإجازة في العلوم الشرعية,جامعة الزيتونة,المعهد العالي لأصول الدين بتونس,تونس,FG+AR,"العنوان :
الهاتف :",العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 107.12, '2020': 108.8399, '2021': 114.945, '2022': 107.92, '2023': 96.81, '2024': 104.215}",no
10107,510107,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510107,5,العلوم التقنية,4,جامعة  قرطاج,الإجازة في الروسية,جامعة قرطاج,المعهد العالي للغات بتونس,تونس,FG+(AR+ANG+F)/3,"العنوان :
الهاتف :",الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 107.105, '2020': 0.0, '2021': 93.8523, '2022': 96.4338, '2023': 96.7288, '2024': 103.9764}",no
10209,610209,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610209,6,علوم الإعلامية,1,جامعة تونس,الاجازة في تصميم الصورة,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,تونس,FG+PH,"العنوان :
الهاتف :",الثقافة والفنون الجميلة والفنون والحرف : الثقافة والفنون الجميلة والفنون والحرف,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 102.6612, '2020': 108.215, '2021': 106.4018, '2022': 108.8682, '2023': 111.7027, '2024': 106.1349}",yes
