degree_name,field,institution_name,university,specialty,specialty_code,bac_type,formula,min_score_2024,min_score_2023,min_score_2022
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية العلوم الإنسانية والاجتماعية بتونس,جامعة تونس,اللغة والآداب والحضارة,10101,آداب,FG+A,97.875,95.6117,98.1618
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية العلوم الإنسانية والاجتماعية بتونس,جامعة تونس,اللغة والآداب والحضارة,10101,رياضيات,FG+A,,,115.3728
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية العلوم الإنسانية والاجتماعية بتونس,جامعة تونس,اللغة والآداب والحضارة,10101,علوم تجريبية,FG+A,130.941,129.1169,113.8213
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية العلوم الإنسانية والاجتماعية بتونس,جامعة تونس,اللغة والآداب والحضارة,10101,إقتصاد وتصرف,FG+A,73.875,86.754,97.89
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية العلوم الإنسانية والاجتماعية بتونس,جامعة تونس,اللغة والآداب والحضارة,10101,علوم الإعلامية,FG+A,98.189,147.9275,113.3344
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11101,آداب,FG+A,95.241,92.1165,92.7816
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11101,رياضيات,FG+A,,,125.09
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11101,علوم تجريبية,FG+A,124.842,114.476,109.0103
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11101,إقتصاد وتصرف,FG+A,80.197,79.4068,80.7232
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11101,علوم الإعلامية,FG+A,107.011,155.6636,105.831
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والفنون والإنسانيات بمنوبة,جامعة منوبة,اللغة والآداب والحضارة,11102,آداب,FG+Ang,113.238,109.6764,104.4567
